message,label
"Hey I saw your pic on Instagram, can I paint a mural of you and send to my client, I'd pay you for using your pic tho",spam
"Saw your photo on Instagram, would love to use it for my art project, will pay you",spam
"Hey love your Instagram pictures! I'm an artist and would pay to use them for my work",spam
"Hi, noticed your pics on social media, interested in buying rights to use them",spam
"Your Instagram photos are perfect for my client's project, willing to pay for usage",spam
"I'm a digital artist, saw your Instagram. Can I use your pics for paid work?",spam
"Love your aesthetic on Instagram! Want to pay you to use your photos for my client",spam
"Hey, your pictures would be perfect for my paid project. Can I use them?",spam
"Saw your content on social media, interested in licensing your photos for money",spam
"Your Instagram profile caught my eye, can I pay to use your pictures for my work?",spam
"I create murals for clients and your pics are perfect! Would pay for permission",spam
"Want to offer you money to use your social media pictures for my art business",spam
"Hi, would you sell rights to your Instagram photos? My client's interested",spam
"Found your profile - interested in buying rights to your pictures for my work",spam
"Can I pay you to use your social media content for my art projects?",spam
