message,label
"Invest ₦50,000 today and get ₦300,000 in just 72 hours. No risk, guaranteed! DM now or click: short.ly/money-move",1
"Hi babe 😘 I miss you. Here's the pic you asked for 👉 tinyurl.com/private-photo Don't share it 💋",1
"I saw what you did last night 👀 Pay ₦100,000 in crypto now or I send the video to your boss. BTC address: 1BvBMSEYstWetqTFn5Au4m4GFg7xJaNVN2",1
"You've won a new iPhone 15 Pro! Just cover shipping. Claim now: winbig-prizes.net",1
"We reviewed your LinkedIn profile. You're selected for a remote job paying ₦800K/month. Fill form now: jobportal.netlify.app",1
"Congratulations! You've won $5,000 in our daily lottery. Click here to claim: bit.ly/prize-claim",1
"URGENT: Your account has been compromised. Verify now: secure-banking-verify.net",1
"Double your Bitcoin in 24 hours! 100% guaranteed returns. Send BTC to: 1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa",1
"Hot singles in your area want to meet you! Click here: dating-match.site",1
"Your package delivery failed. Track here: shipping-status.info",1
"Earn $5,000 weekly working from home! Apply now: remote-jobs.xyz",1
"Your Netflix account will be suspended. Update payment: netflix-account-verify.com",1
"💰 INVESTMENT OPPORTUNITY 💰 Turn $100 into $1000 in 48 hours! DM for details",1
"🎁 CONGRATULATIONS 🎁 You're our 1,000,000th visitor! Claim your prize: lucky-winner.site",1
"WARNING: Your device is infected with virus! Clean now: antivirus-scan.tech",1
